t,mean_speed,coherence,n_clusters,mean_cluster_size,n_edges,mean_novelty,mean_boreness,mean_load,n_joined,n_detached,n_merges,mean_omega0,std_omega0
155,0.7042062207378693,0.5288154721050472,10,5.0,45,0.36157279312583696,0.002925984364991496,2.383704273908706,1,0,0,0.1512899647089634,0.009111315162920573
156,0.7021032893475462,0.528819150097759,11,4.545454545454546,44,0.4056796237932238,0.0028082320166553775,2.3897282228008376,0,1,0,0.1512899647089634,0.009111315162920573
157,0.7085304179838329,0.6530159146616685,10,5.0,47,0.5551826885049695,0.002781548085260726,2.552849949496659,3,0,1,0.1512899647089634,0.009111315162920573
158,0.7139160892004813,0.6529905037200467,10,5.0,48,0.492198625708199,0.0026101349711755172,2.5721244277201776,1,0,0,0.1512899647089634,0.009111315162920573
159,0.713840559722013,0.7399495363285196,9,5.555555555555555,49,0.5435760138145297,0.002537379036974836,2.5594995475101614,1,0,1,0.1512899647089634,0.009111315162920573
160,0.720528621364156,0.7399196743904849,10,5.0,48,0.5986623491272407,0.0025351838920741137,2.5572128638924267,0,1,0,0.1512899647089634,0.009111315162920573
161,0.7240843182212744,0.7398833958730939,10,5.0,48,0.5278801982253924,0.002473191112099809,2.4612397097472978,0,0,0,0.1512899647089634,0.009111315162920573
162,0.7289310345710481,0.7530060598789163,9,5.555555555555555,49,0.46415886637365333,0.0023556878329837115,2.447129012933239,1,0,1,0.1512899647089634,0.009111315162920573
163,0.727703033975001,0.7529576443143353,9,5.555555555555555,50,0.41230412919930126,0.0023441234622620308,2.472857747351366,1,0,0,0.1512899647089634,0.009111315162920573
164,0.7326830963727786,0.7529027441562346,9,5.555555555555555,51,0.36360615406216057,0.0023662403393954175,2.478770144811135,1,0,0,0.1512899647089634,0.009111315162920573
